sym,at,day,ses,up48,dn48,went,px48,oi48,fund_min,board,lead,top24,ladder,r1,fneg,flush,topdn
JOE,21.09 08:12,Mon,Токио,6,-2,0,15,40,0.003,1.1,1,-12,1,0,0,0,1
JOE,22.09 00:20,Mon,Сидней,6,-7,0,7,21,0.003,3.7,1,5,1,1,0,0,0
UNI,21.09 13:43,Mon,Лондон,23,-3,0,-3,-4,0.009,6.3,1,0,0,0,0,0,0
UNI,22.09 09:12,Tue,Токио,22,-3,0,1,2,0.007,3.3,1,-2,0,0,0,0,0
S,22.09 03:12,Tue,Токио,22,-2,0,18,28,0.002,4.3,1,15,1,0,0,0,0
S,22.09 11:41,Tue,Лондон,10,-11,0,26,42,0.002,1.6,1,16,1,0,0,0,0
S,23.09 12:41,Wed,Лондон,1,-10,0,10,13,0.003,3.7,0,2,1,0,0,0,0
NIL,22.09 05:42,Tue,Токио,105,-3,1,38,93,0.005,4.6,1,0,1,0,0,0,0
ZETA,22.09 05:42,Tue,Токио,16,-19,0,48,446,-0.081,4.6,1,-33,1,0,1,0,1
ZETA,22.09 18:20,Tue,НЙ,4,-13,0,46,373,-0.081,-0.2,1,-1,1,0,1,0,0
ZETA,23.09 03:12,Wed,Токио,2,-15,0,40,317,-0.081,2.8,1,-2,1,0,1,0,0
ZETA,24.09 04:51,Thu,Токио,11,-3,0,-16,-40,-0.054,-6.2,1,11,1,0,1,1,0
ATH,22.09 22:15,Tue,НЙ,16,-2,0,5,-1,0.005,2.1,1,4,0,0,0,0,0
SEI,22.09 23:42,Tue,НЙ,4,-6,0,15,21,0.01,1.6,1,4,0,0,0,0,0
SEI,23.09 14:12,Wed,Лондон,10,-8,0,-3,-9,0.01,4.2,0,12,0,0,0,0,0
FORM,23.09 06:17,Wed,Токио,1,-15,0,22,70,0.005,2.8,1,11,1,0,0,0,0
FORM,23.09 15:12,Wed,Лондон,2,-10,0,13,46,0.005,3.0,0,22,1,0,0,0,0
FORM,24.09 08:12,Thu,Токио,5,-3,0,-5,-16,0.005,-5.2,1,23,1,0,0,1,0
PTB,23.09 10:39,Wed,Лондон,3,-24,0,2,-12,0.006,3.7,0,4,1,0,0,0,0
CHR,24.09 04:51,Thu,Токио,11,-2,0,15,84,-0.09,-6.2,1,0,1,0,1,1,0
