symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
APRUSDT,1,76,flow_fuel,сильный,7,неделя,0.0,0.0,26.8,0.0,51.4,0.0,0.22914000000000004,64,10,6,3,none,0.0,0,0.00703,0.5108,10.14,1,67.3,,flow_hidden=цена растёт: наклон 0.00486 > 0.002 | flow_leverage=цена идёт: +142.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,129,13,9,10,none,0.0,0,0.00661,0.5038,3.74,85,63.7,,flow_hidden=цена растёт: наклон 0.00233 > 0.002 | flow_leverage=фандинг не отрицательный: 7.7% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
HYPEUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,51.4,0.0,52.656499999999994,75,6,5,10,down,0.243,0,-0.0185,0.489,3.76,58,33.6,,flow_hidden=поток не растёт: наклон -0.01850 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
PROMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,132,18,13,10,up,1.0,0,-0.00862,0.4967,1.37,229,91.0,,flow_hidden=цена растёт: наклон 0.01448 > 0.002 | flow_leverage=цена идёт: +53.0% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,63,7,4,3,up,0.26,0,-0.00365,0.4959,89.62,62,93.8,,flow_hidden=цена растёт: наклон 0.00231 > 0.002 | flow_leverage=цена идёт: -76.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.83 > 0.95,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,28,0,0,3,up,0.453,0,0.02335,0.5127,15.16,2,47.5,,"flow_hidden=цена растёт: наклон 0.02010 > 0.002 | flow_leverage=нет живых зон, сеть не запрашивалась | flow_spring=нет живых зон",
TUTUSDT,1,94,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,68.5,0.0,0.034795,105,6,3,10,up,0.243,0,0.01729,0.5102,42.59,4,83.5,,flow_hidden=цена растёт: наклон 0.04266 > 0.002 | flow_leverage=цена идёт: +251.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
COTIUSDT,1,55,flow_taker,умеренный,2,дни,0.0,0.0,0.0,30.5,0.0,0.0,0.010140333333333333,79,13,10,10,up,0.239,0,-0.00679,0.497,1.4,206,70.3,,flow_hidden=цена растёт: наклон 0.00684 > 0.002 | flow_leverage=цена идёт: -34.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 9.37 > 0.95,
BRUSDT,1,73,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,48.4,0.0,0.19307833333333332,120,11,7,10,none,0.0,0,0.00037,0.5065,5.78,144,75.2,,flow_hidden=поток не растёт: наклон 0.00037 < 0.01 | flow_leverage=цена идёт: +51.8% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
BTWUSDT,1,63,flow_fuel,умеренный,2,дни,0.0,0.0,0.0,0.0,37.6,0.0,0.19306666666666666,12,1,0,1,up,0.105,0,-0.00058,0.5,16.26,0,26.5,,flow_hidden=цена растёт: наклон 0.01983 > 0.002 | flow_leverage=цена идёт: +153.9% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 4.60 > 0.95,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,48,7,2,10,up,0.123,0,-0.01542,0.4905,2.0,221,69.3,,flow_hidden=поток не растёт: наклон -0.01542 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.04 > 0.95,
LINKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,52,1,0,10,up,0.228,0,-0.0039,0.4966,1.23,211,51.5,,flow_hidden=поток не растёт: наклон -0.00390 < 0.01 | flow_leverage=фандинг не отрицательный: 6.5% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.16 > 0.95,
