symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
APRUSDT,1,76,flow_fuel,сильный,7,неделя,0.0,0.0,26.8,0.0,51.4,0.0,0.22914000000000004,64,10,6,3,none,0.0,0,,,,,67.3,,,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,129,13,9,10,none,0.0,0,,,,,63.7,,flow_hidden=цена растёт: наклон 0.00232 > 0.002 | flow_leverage=фандинг не отрицательный: 7.7% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
HYPEUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,51.4,0.0,52.656499999999994,75,6,5,10,down,0.243,0,,,,,33.6,,,
PROMUSDT,1,85,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,60.5,0.0,2.332333333333333,132,18,13,10,up,1.0,0,,,,,91.0,,,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,63,7,4,3,up,0.26,0,,,,,93.8,,flow_hidden=цена растёт: наклон 0.00230 > 0.002 | flow_leverage=цена идёт: -76.5% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.85 > 0.95,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,28,0,0,3,up,0.453,0,,,,,47.5,,"flow_hidden=цена растёт: наклон 0.02007 > 0.002 | flow_leverage=нет живых зон, сеть не запрашивалась | flow_spring=нет живых зон",
TUTUSDT,1,94,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,68.5,0.0,0.034795,105,6,3,10,up,0.243,0,,,,,83.5,,,
COTIUSDT,1,55,flow_taker,умеренный,2,дни,0.0,0.0,0.0,30.5,0.0,0.0,0.010140333333333333,79,13,10,10,up,0.239,0,,,,,70.3,,,
BRUSDT,1,73,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,48.4,0.0,0.19307833333333332,120,11,7,10,none,0.0,0,,,,,75.2,,,
BTWUSDT,1,63,flow_fuel,умеренный,2,дни,0.0,0.0,0.0,0.0,37.6,0.0,0.19306666666666666,12,1,0,1,up,0.105,0,,,,,26.5,,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,48,7,2,10,up,0.123,0,,,,,69.3,,flow_hidden=поток не растёт: наклон -0.01543 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.04 > 0.95,
