symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,44,1,1,10,,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,64,1,1,10,,0,1.13,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,77,2,1,1,,0,1.27,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,146,2,2,3,,0,4.56,,
BANKUSDT,1,89,flow_churn,экстремальный,2,дни,52.9,0.0,73.4,35.4,0.0,0.0,0.029827493879851303,197,7,7,1,,0,30.26,,
ZECUSDT,1,93,flow_hidden,экстремальный,25,недели,80.8,0.0,0.0,0.0,55.6,0.0,506.34,222,20,17,10,,0,3.74,,
HYPEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,47.65560959752709,123,7,6,5,,0,3.76,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,81,0,0,10,,0,1.37,,
BLESSUSDT,1,83,flow_fuel,сильный,5,неделя,0.0,0.0,0.0,0.0,69.4,0.0,0.007948171817772723,119,7,5,5,,0,9.27,,
VICUSDT,1,76,flow_taker,сильный,25,недели,0.0,0.0,0.0,56.8,0.0,0.0,0.04169029754394374,206,2,2,10,,0,1.09,,
SKYAIUSDT,1,73,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,50.4,0.0,0.019381334583705355,192,4,3,5,,0,31.89,,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,25,1,1,3,,0,6.56,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,82,0,0,10,,0,1.17,,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,172,3,3,10,,0,3.25,,
