symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
GIGADEVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
ONGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,108,17,14,10,none,0.0,0,-0.0049,0.4961,2.19,132,66.5,,flow_dormant=цикла не было: рост до пика x2.19 < x3.0 | flow_hidden=поток не растёт: наклон -0.00490 < 0.01 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
PENDLEUSDT,1,62,flow_fuel,умеренный,25,недели,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.2335333333333336,62,5,4,10,up,0.338,0,-0.03926,0.4812,1.45,220,59.7,,flow_dormant=цикла не было: рост до пика x1.45 < x3.0 | flow_hidden=поток не растёт: наклон -0.03926 < 0.01 | flow_spring=событий за 24 баров 0 < 2,
SEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,57,3,2,10,up,0.115,0,-0.03611,0.483,1.29,220,71.0,,flow_dormant=цикла не было: рост до пика x1.29 < x3.0 | flow_hidden=поток не растёт: наклон -0.03611 < 0.01 | flow_spring=нет опорной зоны под ценой,
MOVRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,111,14,9,10,up,0.345,0,-0.03242,0.4753,4.51,119,83.7,,flow_dormant=база широка: 118.0% при падении 83.7% — доля 1.41 > 0.55 | flow_hidden=поток не растёт: наклон -0.03242 < 0.01 | flow_spring=фон шумный: rel_vol 7.08 > 0.95,
SLXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,0,1,up,0.188,1,-0.07443,0.4631,5.0,48,89.4,,flow_dormant=обвал дельты (наклон -0.0744) | flow_hidden=обвал дельты (наклон -0.0744) | flow_spring=нет живых зон,
BANANAS31USDT,1,90,flow_fuel,экстремальный,25,недели,0.0,0.0,0.0,27.2,0.0,64.5,0.0,0.007607666666666666,131,13,10,10,up,0.172,0,-0.02084,0.487,5.87,144,60.0,,flow_dormant=база широка: 75.0% при падении 60.0% — доля 1.25 > 0.55 | flow_hidden=поток не растёт: наклон -0.02084 < 0.01 | flow_spring=фон шумный: rel_vol 5.04 > 0.95,
ANTHROPICUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,2,0,1,up,0.401,0,0.01392,0.505,1.2,72,30.6,,flow_dormant=цикла не было: рост до пика x1.20 < x3.0 | flow_hidden=набор комкОм: однородность 0.03 < 0.35 | flow_spring=фон шумный: rel_vol 3.43 > 0.95,
PEOPLEUSDT,1,100,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,79.7,0.0,0.006977,76,7,1,10,none,0.0,0,-0.01355,0.4934,1.56,222,61.4,,flow_dormant=цикла не было: рост до пика x1.56 < x3.0 | flow_hidden=цена растёт: наклон 0.00761 > 0.002 | flow_spring=не сжалась: squeeze 1.01 > 0.9,
SANDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,60,10,4,10,down,0.165,0,-0.03657,0.4813,1.66,203,78.7,,flow_dormant=цикла не было: рост до пика x1.66 < x3.0 | flow_hidden=поток не растёт: наклон -0.03657 < 0.01 | flow_spring=фон шумный: rel_vol 1.50 > 0.95,
AEROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,12,7,10,up,0.517,0,-0.00722,0.4953,1.6,220,57.0,,flow_dormant=цикла не было: рост до пика x1.60 < x3.0 | flow_hidden=поток не растёт: наклон -0.00722 < 0.01 | flow_spring=событий за 24 баров 1 < 2,
POLUSDT,1,68,flow_taker,умеренный,25,недели,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.07385,56,6,4,10,none,0.0,0,-0.01853,0.488,1.89,216,63.9,,flow_dormant=цикла не было: рост до пика x1.89 < x3.0 | flow_hidden=поток не растёт: наклон -0.01853 < 0.01 | flow_spring=нет опорной зоны под ценой,
USARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,1,up,0.411,0,-0.03078,0.4851,1.69,72,60.6,,flow_dormant=цикла не было: рост до пика x1.69 < x3.0 | flow_hidden=поток не растёт: наклон -0.03078 < 0.01 | flow_spring=нет живых зон,
ALGOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,59,4,1,10,none,0.0,0,-0.02719,0.4886,1.39,220,48.1,,flow_dormant=цикла не было: рост до пика x1.39 < x3.0 | flow_hidden=поток не растёт: наклон -0.02719 < 0.01 | flow_spring=нет опорной зоны под ценой,
BASUSDT,1,66,flow_fuel,умеренный,25,недели,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.021135833333333333,85,7,3,10,down,0.315,0,-0.01677,0.4927,25.51,45,63.2,,flow_dormant=база широка: 171.6% при падении 63.2% — доля 2.72 > 0.55 | flow_hidden=поток не растёт: наклон -0.01677 < 0.01 | flow_spring=фон шумный: rel_vol 5.40 > 0.95,
TRBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78,7,2,10,up,0.129,0,-0.05302,0.4724,2.05,120,51.2,,flow_dormant=цикла не было: рост до пика x2.05 < x3.0 | flow_hidden=поток не растёт: наклон -0.05302 < 0.01 | flow_spring=фон шумный: rel_vol 2.14 > 0.95,
AXSUSDT,1,78,flow_taker,сильный,25,недели,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0.9038,87,9,7,10,up,0.193,0,-0.02187,0.4887,3.8,202,73.2,,flow_dormant=база широка: 59.6% при падении 73.2% — доля 0.81 > 0.55 | flow_hidden=поток не растёт: наклон -0.02187 < 0.01 | flow_spring=фон шумный: rel_vol 1.52 > 0.95,
REDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,101,17,8,10,up,0.225,0,-0.01204,0.4956,1.42,215,70.0,,flow_dormant=цикла не было: рост до пика x1.42 < x3.0 | flow_hidden=поток не растёт: наклон -0.01204 < 0.01 | flow_spring=фон шумный: rel_vol 8.99 > 0.95,
JUPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58,4,3,10,up,0.193,0,-0.02332,0.4861,2.05,96,47.9,,flow_dormant=цикла не было: рост до пика x2.05 < x3.0 | flow_hidden=поток не растёт: наклон -0.02332 < 0.01 | flow_spring=нет опорной зоны под ценой,
ZROUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86,5,4,10,down,0.106,0,-0.02257,0.4897,2.15,184,72.7,,flow_dormant=цикла не было: рост до пика x2.15 < x3.0 | flow_hidden=поток не растёт: наклон -0.02257 < 0.01 | flow_spring=нет опорной зоны под ценой,
