symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,46,1,1,1,0.1267,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,1,1,5,0.1697,0,1.19,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,2,1,2,0.3965,0,1.27,,
AKEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,153,10,10,0,0.0,0,39.91,,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,167,4,4,0,0.0,0,3.22,,
BLESSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,114,7,6,0,0.0,0,9.27,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,0,0,2,0.2587,0,1.37,,
HYPEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,47.78024800001255,127,7,6,0,0.0,0,3.76,,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,82,0,0,3,0.3734,0,1.36,,
ZECUSDT,1,90,flow_spring,экстремальный,25,недели,67.3,76.4,0.0,0.0,55.6,0.0,388.7921728635358,217,20,18,2,0.0118,0,3.74,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,0,0,1,0.2409,0,1.19,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,148,1,1,1,0.0291,0,4.56,,
GIGGLEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,55,4,4,5,0.1865,0,1.1,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,126,0,0,1,0.1462,0,1.17,,
KOMAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,143,8,8,0,0.0,0,5.83,,
UAIUSDT,1,71,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,47.2,0.0,0.3076711776190727,100,8,8,0,0.0,0,5.3,,
BANKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,194,8,8,0,0.0,0,30.26,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,1,0,2,0.0642,0,2.0,,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,86,8,7,0,0.0,0,89.62,,
ENAUSDT,1,71,flow_taker,сильный,25,недели,0.0,0.0,0.0,47.0,0.0,0.0,0.0887,102,1,1,1,0.1083,0,1.17,,
AVAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,88,1,1,2,0.198,0,1.33,,
KAITOUSDT,1,90,flow_churn,экстремальный,2,дни,0.0,0.0,81.0,0.0,0.0,0.0,0.3960638164570426,170,16,14,0,0.0,0,5.19,,
