symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,30.8,0.0,51.4,0.0,,129,10,6,10,none,0.0,0,0.01561,0.5107,4.67,0,21.3,,flow_dormant=падение 21.3% < 45.0% | flow_hidden=цена растёт: наклон 0.00440 > 0.002 | flow_leverage=цена идёт: +56.3% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,51.4,0.0,,77,6,5,10,down,0.243,0,-0.0085,0.4933,4.04,0,14.6,,flow_dormant=падение 14.6% < 45.0% | flow_hidden=поток не растёт: наклон -0.00850 < 0.01 | flow_leverage=цена идёт: +43.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 8.64 > 0.95,
TRUMPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71,14,8,10,down,0.313,0,-0.01141,0.4925,1.24,220,76.4,,"flow_dormant=цикла не было: рост до пика x1.24 < x3.0, за жизнь x3.61 при падении 98.3% | flow_hidden=поток не растёт: наклон -0.01141 < 0.01 | flow_leverage=цена идёт: +80.3% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
ENAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67,1,0,10,up,0.466,0,-0.00916,0.4931,1.34,228,73.5,,"flow_dormant=цикла не было: рост до пика x1.34 < x3.0, за жизнь x2.57 при падении 95.4% | flow_hidden=цена растёт: наклон 0.00514 > 0.002 | flow_leverage=цена идёт: +74.5% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47,5,2,10,up,0.144,0,-0.01771,0.4889,1.88,230,69.3,,flow_dormant=отскока не было: 12.3% < 15.0% | flow_hidden=цена растёт: наклон 0.00356 > 0.002 | flow_leverage=цена идёт: +39.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
SUIUSDT,0,0,none,,0,,41.0,0.0,0.0,0.0,0.0,0.0,0.0,,39,5,3,10,none,0.0,0,-0.02746,0.4804,1.49,228,68.7,,flow_hidden=поток не растёт: наклон -0.02746 < 0.01 | flow_leverage=цена идёт: +21.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
BCHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,44.2,0.0,,57,8,6,10,none,0.0,0,-0.02447,0.4859,1.15,229,73.0,,flow_dormant=отскока не было: 8.8% < 15.0% | flow_hidden=поток не растёт: наклон -0.02447 < 0.01 | flow_leverage=цена идёт: +29.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
PUMPUSDT,1,54,flow_churn,умеренный,2,дни,0.0,0.0,0.0,23.1,0.0,68.5,0.0,0.004214666666666666,43,8,5,10,none,0.0,0,0.0064,0.5037,4.14,0,27.8,,flow_dormant=падение 27.8% < 45.0% | flow_hidden=цена растёт: наклон 0.01718 > 0.002 | flow_leverage=цена идёт: +66.3% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 7.58 > 0.95,
LINKUSDT,1,65,flow_churn,умеренный,25,недели,0.0,0.0,0.0,34.0,0.0,35.4,0.0,11.407000000000002,58,3,1,10,up,0.161,0,-0.00308,0.4983,1.2,220,51.5,,flow_dormant=отскока не было: 8.2% < 15.0% | flow_hidden=цена растёт: наклон 0.00495 > 0.002 | flow_leverage=цена идёт: +41.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 6.16 > 0.95,
WLDUSDT,1,45,flow_churn,умеренный,25,недели,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.39035,90,11,9,10,up,0.321,0,-0.0218,0.485,3.2,66,59.5,,flow_dormant=отскока не было: 9.8% < 15.0% | flow_hidden=поток не растёт: наклон -0.02180 < 0.01 | flow_leverage=цена идёт: +27.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 5.70 > 0.95,
ASTERUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34,5,3,3,up,0.062,0,-0.03648,0.4706,1.21,229,50.4,,"flow_dormant=цикла не было: рост до пика x1.21 < x3.0, за жизнь x4.41 при падении 83.5% | flow_hidden=поток не растёт: наклон -0.03648 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
AAVEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,48.4,0.0,,59,6,2,10,none,0.0,0,-0.02221,0.4913,1.27,220,68.0,,flow_dormant=отскока не было: 13.4% < 15.0% | flow_hidden=поток не растёт: наклон -0.02221 < 0.01 | flow_leverage=цена идёт: +34.3% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 6.56 > 0.95,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,66,7,3,3,up,0.237,0,-0.01495,0.4925,89.62,71,99.0,,flow_dormant=это уже движение: отскок 324.9% > 250.0% | flow_hidden=поток не растёт: наклон -0.01495 < 0.01 | flow_leverage=цена идёт: -95.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 2.56 > 0.95,
TAOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75,8,5,10,down,0.246,0,-0.03193,0.4812,2.64,150,51.2,,"flow_dormant=цикла не было: рост до пика x2.64 < x3.0, за жизнь x4.59 при падении 75.6% | flow_hidden=поток не растёт: наклон -0.03193 < 0.01 | flow_leverage=цена идёт: +11.3% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 6.54 > 0.95",
AVAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54,4,4,10,up,0.154,0,-0.02036,0.4889,1.24,220,62.0,,flow_dormant=отскока не было: 11.6% < 15.0% | flow_hidden=поток не растёт: наклон -0.02036 < 0.01 | flow_leverage=цена идёт: +17.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 5.64 > 0.95,
ONDOUSDT,1,54,flow_churn,умеренный,25,недели,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.36775,75,8,4,10,up,0.144,0,-0.03778,0.4786,2.42,105,39.9,,flow_dormant=падение 39.9% < 45.0% | flow_hidden=цена растёт: наклон 0.00206 > 0.002 | flow_leverage=фандинг не отрицательный: 7.8% APR > -5.0% | flow_spring=фон шумный: rel_vol 6.70 > 0.95,
WLFIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36,5,3,10,none,0.0,0,-0.00659,0.4922,1.39,220,74.2,,"flow_dormant=цикла не было: рост до пика x1.39 < x3.0, за жизнь x2.74 при падении 91.1% | flow_hidden=поток не растёт: наклон -0.00659 < 0.01 | flow_leverage=цена идёт: +12.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
UNIUSDT,1,85,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,60.5,0.0,3.8984999999999994,72,11,7,10,none,0.0,0,-0.03311,0.4855,1.15,237,64.8,,flow_dormant=отскока не было: 12.6% < 15.0% | flow_hidden=цена растёт: наклон 0.00412 > 0.002 | flow_leverage=фандинг не отрицательный: 8.2% APR > -5.0% | flow_spring=фон шумный: rel_vol 4.48 > 0.95,
