symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,44,1,1,10,,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,64,1,1,10,,0,1.13,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,77,2,1,0,,0,1.27,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,146,2,2,3,,0,4.56,,
BANKUSDT,1,61,flow_hidden,умеренный,2,дни,55.1,0.0,44.0,32.5,0.0,0.0,0.04445577958222892,197,7,7,0,,0,30.26,,
ZECUSDT,1,100,flow_hidden,экстремальный,25,недели,96.0,0.0,0.0,0.0,64.5,0.0,505.89,222,20,17,10,,0,3.74,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,81,0,0,10,,0,1.37,,
HYPEUSDT,1,80,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,80.0,0.0,47.65560959752709,123,7,6,5,,0,3.76,,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,25,1,1,3,,0,6.56,,
SKYAIUSDT,0,45,none,,0,,0.0,0.0,0.0,0.0,44.5,0.0,,192,4,4,5,,0,31.89,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,82,0,0,10,,0,1.17,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,4,4,10,,0,1.07,,
BLESSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,119,8,6,5,,0,9.27,,
VICUSDT,1,52,flow_taker,умеренный,25,недели,0.0,0.0,0.0,51.6,0.0,0.0,0.03944,206,2,2,10,,0,1.09,,
UBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,137,10,10,3,,0,13.73,,
