symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
AAVEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,60,5,1,10,up,0.403,0,-0.01691,0.4894,1.11,238,69.2,,flow_dormant=цикла не было: рост до пика x1.11 < x3.0 | flow_hidden=цена растёт: наклон 0.00256 > 0.002 | flow_leverage=фандинг не отрицательный: 3.4% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
AVNTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,47,9,5,3,none,0.0,0,-0.01633,0.4879,1.97,228,82.3,,flow_dormant=цикла не было: рост до пика x1.97 < x3.0 | flow_hidden=поток не растёт: наклон -0.01633 < 0.01 | flow_leverage=цена идёт: +28.0% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
2ZUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,36,5,2,3,down,0.107,0,-0.00246,0.4992,1.53,202,69.1,,flow_dormant=цикла не было: рост до пика x1.53 < x3.0 | flow_hidden=поток не растёт: наклон -0.00246 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
CROSSUSDT,1,85,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,60.5,0.0,0.13935,87,14,10,10,none,0.0,0,-0.00864,0.4953,1.42,226,63.0,,flow_dormant=цикла не было: рост до пика x1.42 < x3.0 | flow_hidden=цена растёт: наклон 0.00276 > 0.002 | flow_leverage=цена идёт: +52.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
AVAXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,4,3,10,down,0.246,0,-0.02312,0.4887,1.33,212,62.0,,flow_dormant=цикла не было: рост до пика x1.33 < x3.0 | flow_hidden=поток не растёт: наклон -0.02312 < 0.01 | flow_leverage=фандинг не отрицательный: 4.5% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
ETHFIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,69,6,5,10,up,0.371,0,-0.01822,0.4917,1.27,220,68.1,,flow_dormant=цикла не было: рост до пика x1.27 < x3.0 | flow_hidden=цена растёт: наклон 0.00263 > 0.002 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 2.45 > 0.95,
ONDOUSDT,1,77,flow_spring,сильный,25,недели,0.0,51.6,0.0,0.0,0.0,0.0,0.30813333333333337,73,7,5,10,up,0.368,0,-0.02804,0.4889,2.42,97,39.9,,flow_dormant=цикла не было: рост до пика x2.42 < x3.0 | flow_hidden=цена растёт: наклон 0.00216 > 0.002 | flow_leverage=цена идёт: -13.8% за 14 баров > 10.0%,
BICOUSDT,1,94,flow_fuel,экстремальный,7,неделя,0.0,0.0,0.0,0.0,68.5,0.0,0.020326666666666666,124,11,9,10,up,0.177,0,0.01189,0.5054,8.12,5,72.8,,flow_dormant=база не была тихой: оборот 4.54 к падению > 0.95 | flow_hidden=цена растёт: наклон 0.00448 > 0.002 | flow_leverage=цена идёт: +112.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
LITUSDT,1,85,flow_fuel,экстремальный,7,неделя,0.0,0.0,0.0,0.0,60.5,0.0,2.0012666666666665,34,4,2,3,none,0.0,0,-0.01143,0.4966,1.31,234,82.3,,flow_dormant=цикла не было: рост до пика x1.31 < x3.0 | flow_hidden=цена растёт: наклон 0.00472 > 0.002 | flow_leverage=цена идёт: +10.9% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.01 > 0.95,
ACUUSDT,1,65,flow_fuel,умеренный,7,неделя,0.0,0.0,0.0,0.0,39.6,0.0,0.07519166666666667,26,4,1,3,none,0.0,0,-0.00972,0.4908,3.62,202,83.4,,flow_dormant=отскока не было: 24.1% < 30.0% | flow_hidden=поток не растёт: наклон -0.00972 < 0.01 | flow_leverage=цена идёт: +48.3% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
