symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,44,1,1,10,,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,64,1,1,10,,0,1.13,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,77,2,1,1,,0,1.27,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,146,2,2,3,,0,4.56,,
BANKUSDT,1,89,flow_churn,экстремальный,2,дни,66.2,0.0,73.4,38.9,42.8,0.0,0.029827493879851303,197,7,7,1,,0,30.26,,
ZECUSDT,1,93,flow_hidden,экстремальный,25,недели,80.8,0.0,0.0,0.0,55.6,0.0,506.15,222,20,17,10,,0,3.74,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,81,0,0,10,,0,1.37,,
HYPEUSDT,1,83,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,69.4,0.0,47.65560959752709,123,7,6,5,,0,3.76,,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,25,1,1,3,,0,6.56,,
VICUSDT,1,73,flow_taker,сильный,25,недели,0.0,0.0,0.0,51.6,0.0,0.0,0.03982,206,2,2,10,,0,1.09,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,82,0,0,10,,0,1.17,,
BLESSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,119,8,6,5,,0,9.27,,
SKYAIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,192,4,3,5,,0,31.89,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,107,4,4,10,,0,1.07,,
UBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,137,9,9,3,,0,13.73,,
