date,close,case,score,verdict
2026-07-15,64721,flow_taker,78,Смена агрессора: агрессор сменился: доля покупок 50% → 50% при цене +5.2%; сдвиг собран неравномерно; цена перестала спо
2026-07-18,64807,,,
2026-07-21,66522,flow_fuel,87,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 61352.3 удержан на 3 ретестах."
2026-07-24,64116,,,
2026-07-27,63721,,,
2026-07-30,64750,,,
2026-08-02,63550,,,
2026-08-05,64634,,,
2026-08-08,64928,,,
2026-08-11,63572,,,
2026-08-14,63015,,,
2026-08-17,64504,,,
2026-08-20,72999,,,цель уже позади цены: цель 68714.61333 при цене 72998.7 — сигнал отыгран
